id;regiao;estado;sigla;vitoria_;usa_twitter_;sent_twitter_;usa_instagram_;sent_instagram_;anos_;foi_diretor_;foi_coordenador_;foi_fg_;publicacoes_twitter_;seguidores_twitter_;seguindo_twitter_;publicacoes_instagram_;seguidores_instagram_;seguindo_instagram_
301;Sul;Rio Grande do Sul;UF;N;N;;S;0,00;7,41;S;S;N;;;;0;0;0
302;Sul;Paraná;UF;N;S;0,00;S;0,05;24,49;S;N;N;1;1;2;11;111;95
303;Sul;Paraná;UF;S;S;0,13;S;0,17;27,16;S;N;N;98;295;4427;659;8367;801
304;Sul;Rio Grande do Sul;UF;S;S;0,17;S;0,40;16,94;S;N;N;68;100;103;119;1537;1332
305;Sul;Rio Grande do Sul;UF;N;N;;N;;27,63;N;N;N;;;;;;
306;Sul;Rio Grande do Sul;UF;N;N;;S;0,25;;;;;;;;461;6527;6675
307;Sul;Rio Grande do Sul;UF;N;N;;N;;9,69;N;N;N;;;;;;
308;Sul;Rio Grande do Sul;UF;N;S;0,05;S;0,00;40,87;S;N;N;43;81;73;107;1022;409
309;Sul;Rio Grande do Sul;UF;S;N;;N;;27,00;S;N;S;;;;;;
310;Nordeste;Pernambuco;UF;S;N;;N;;15,75;S;N;N;;;;;;
311;Nordeste;Piauí;UF;S;N;;N;;12,89;S;N ;S;;;;;;
312;Norte;Tocantins;UF;S;N;;N;;18,08;S;N;N;;;;;;
313;Norte;Tocantins;UF;N;N;;N;;10,78;N;S;S;;;;;;
